condition_key,drug,rank,rank_by_rating,score,shrunk_rating,mean_rating,n_reviews,positive_rate,mean_useful,mimic_confirmed,mimic_notes_matched,mimic_match_mode
adhd,Ritalin,14,26,64.3838,7.3853,7.4474,76,0.75,35.7632,False,1,loose
adhd,Bupropion,15,24,63.0243,7.4275,7.5,72,0.75,70.1806,False,1,loose
agitated state,Aripiprazole,1,1,32.9197,6.7197,6.5833,24,0.625,30.75,False,10,loose
agitated state,Abilify,2,2,31.027,6.615,6.4091,22,0.5909,33.1364,False,10,loose
alcohol dependence,Acamprosate,1,2,104.2999,8.722,8.8671,143,0.9021,62.6573,True,29,loose
alcohol dependence,Campral,2,1,97.5049,8.8277,9.0082,122,0.918,70.4672,False,29,loose
alcohol dependence,Naltrexone,3,4,93.7132,8.4844,8.6311,122,0.877,63.3115,True,29,loose
alcohol dependence,Disulfiram,4,5,65.575,8.396,8.6721,61,0.8689,77.2787,False,29,loose
alcohol dependence,Antabuse,5,3,60.2355,8.6051,9.0,49,0.898,93.2857,False,29,loose
alcohol dependence,Vivitrol,6,6,30.8274,7.9596,8.7333,15,0.9333,95.5333,False,29,loose
alcohol dependence,Revia,7,7,17.0874,7.6417,9.2,5,1.0,154.2,False,29,loose
alcohol withdrawal,Chlordiazepoxide,1,2,86.6721,9.1872,9.4831,89,0.9663,51.0112,False,10,strict
alcohol withdrawal,Librium,2,1,82.434,9.2164,9.55,80,0.975,56.2125,False,10,strict
alcohol withdrawal,Baclofen,3,3,63.6766,8.6653,9.037,54,0.9444,47.8148,False,10,strict
alcohol withdrawal,Gabapentin,4,4,44.5884,8.1407,8.6,30,0.8667,64.8,True,10,strict
alcohol withdrawal,Diazepam,5,5,23.4156,7.8052,8.8889,9,0.8889,40.1111,True,10,strict
alcohol withdrawal,Valium,6,6,20.0394,7.5742,8.5714,7,0.8571,48.5714,False,10,strict
allergic reactions,Diphenhydramine,1,2,38.6364,7.7273,8.08,25,0.8,16.72,False,0,none
allergic reactions,Prednisone,2,7,35.8151,7.0239,7.0385,26,0.6154,27.7308,False,0,none
allergic reactions,Benadryl Allergy,3,4,24.1352,7.6322,8.4,10,0.8,24.3,False,0,none
allergic reactions,Chlorpheniramine,4,1,24.1299,8.0433,9.4444,9,1.0,12.0,False,0,none
allergic reactions,Benadryl,5,5,22.8416,7.2231,7.5,10,0.7,14.5,False,0,none
allergic reactions,Cyproheptadine,6,3,18.9031,7.7172,9.1667,6,1.0,13.1667,False,0,none
allergic reactions,Promethazine,7,6,16.0351,7.1711,7.6,5,0.8,10.6,False,0,none
allergic rhinitis,Cetirizine,1,27,65.942,6.7655,6.7368,95,0.6,16.5263,False,0,none
allergic rhinitis,Azelastine,2,12,55.7775,7.521,7.6364,55,0.7273,16.5818,False,0,none
allergic rhinitis,Montelukast,3,42,54.2137,5.846,5.686,86,0.4884,31.8721,False,0,none
allergic rhinitis,Azelastine / fluticasone,4,28,54.1228,6.7131,6.6615,65,0.5846,10.1692,False,0,none
allergic rhinitis,Dymista,5,29,54.1228,6.7131,6.6615,65,0.5846,10.1692,False,0,none
allergic rhinitis,Zyrtec,6,30,53.3589,6.6699,6.6094,64,0.5938,22.4062,False,0,none
allergic rhinitis,Fexofenadine,7,32,51.4148,6.6376,6.5667,60,0.6,13.85,False,0,none
allergic rhinitis,Triamcinolone,8,35,47.8078,6.4464,6.3273,55,0.5818,13.3455,False,0,none
allergic rhinitis,Singulair,9,33,46.3502,6.6215,6.5306,49,0.5918,47.2245,False,0,none
allergic rhinitis,Fluticasone,10,37,45.9735,6.2562,6.0926,54,0.5556,14.4444,False,0,none
allergic rhinitis,Allegra,11,24,43.896,6.9406,6.925,40,0.65,17.95,False,0,none
allergic rhinitis,Mometasone,12,19,42.0727,7.2154,7.2941,34,0.6765,14.2941,False,0,none
allergic rhinitis,Levocetirizine,13,11,42.0702,7.556,7.7742,31,0.7097,18.8387,False,0,none
allergic rhinitis,Fexofenadine / pseudoephedrine,14,17,39.7632,7.2597,7.3667,30,0.8,7.0333,False,0,none
allergic rhinitis,Nasonex,15,23,39.372,7.1883,7.2667,30,0.6667,15.9667,False,0,none
allergic urticaria,Hydroxyzine,1,1,29.7047,6.4821,6.1905,21,0.5714,31.5238,False,0,none
allergies,Levocetirizine,1,3,53.8443,5.4671,5.2784,97,0.4536,16.7835,False,1,loose
allergies,Xyzal,2,4,48.4413,5.2236,4.9767,86,0.4186,17.814,False,1,loose
allergies,Hydroxyzine,3,1,44.5689,8.4227,9.0357,28,0.9286,24.0714,False,1,loose
allergies,Atarax,4,2,26.3757,7.9526,9.0,11,0.9091,29.4545,False,1,loose
alopecia,Minoxidil,1,5,53.9725,6.5938,6.5224,67,0.6119,54.0,False,0,none
alopecia,Spironolactone,2,1,33.0798,7.797,8.3333,18,0.7778,77.1111,False,0,none
alopecia,Rogaine,3,6,25.3765,6.5522,6.2,15,0.6,87.9333,False,0,none
alopecia,Triamcinolone,4,2,24.5665,7.7686,8.7,10,0.9,31.3,False,0,none
alopecia,Kenalog-10,5,3,21.766,7.6955,8.75,8,0.875,36.5,False,0,none
alopecia,Rogaine Women's,6,4,16.2982,7.2888,8.0,5,0.8,59.2,False,0,none
alzheimer s,Donepezil,1,6,30.5868,5.407,4.8125,32,0.4062,70.8125,True,2,loose
alzheimer s,Rivastigmine,2,3,26.987,6.7468,6.5625,16,0.625,24.8125,False,2,loose
alzheimer s,Aricept,3,4,25.8673,6.097,5.5,18,0.5,105.2778,False,2,loose
alzheimer s,Exelon,4,2,23.6583,6.8295,6.6667,12,0.6667,30.4167,False,2,loose
alzheimer s,Memantine,5,7,22.1666,5.3762,4.2353,17,0.2941,47.8824,True,2,loose
alzheimer s,Galantamine,6,1,20.4933,7.2455,7.625,8,0.75,11.75,False,2,loose
alzheimer s,Namenda,7,5,17.8107,5.6322,4.0,10,0.2,63.4,False,2,loose
amenorrhea,Medroxyprogesterone,1,1,59.492,7.7452,7.8983,59,0.7627,20.9322,False,0,none
amenorrhea,Provera,2,2,48.2745,7.6329,7.825,40,0.775,25.75,False,0,none
amenorrhea,Depo-Provera,3,3,17.9506,7.3283,8.0,6,0.8333,15.1667,False,0,none
amenorrhea,Norethindrone,4,4,17.2702,7.0505,7.1667,6,0.8333,3.3333,False,0,none
androgenetic alopecia,Finasteride,1,2,44.8601,6.1047,5.9074,54,0.5926,24.3148,False,0,none
androgenetic alopecia,Propecia,2,1,20.3193,6.1265,5.1818,11,0.5455,41.0,False,0,none
anemia,Multivitamin with iron,1,1,28.5429,7.9164,8.7692,13,0.9231,13.6154,True,41,strict
anesthesia,Propofol,1,2,129.8404,8.0216,8.0687,262,0.7786,14.7099,False,0,none
anesthesia,Diprivan,2,1,34.3525,8.097,8.8333,18,0.8889,28.8889,False,0,none
anesthesia,Lidocaine / prilocaine,3,3,21.4832,7.5955,8.5,8,0.875,10.125,False,0,none
anesthesia,Ketamine,4,6,20.1941,5.8295,4.6667,12,0.4167,19.8333,False,0,none
anesthesia,Emla,5,4,16.6928,7.4652,8.6,5,0.8,12.8,False,0,none
anesthesia,Succinylcholine,6,7,14.8442,4.9481,2.2222,9,0.0,6.5556,False,0,none
anesthesia,Lidocaine,7,5,14.8207,6.0505,4.1667,6,0.3333,6.5,False,0,none
angina,Ranolazine,1,4,47.322,7.2165,7.2791,43,0.6977,30.5349,False,6,strict
angina,Ranexa,2,2,44.1136,7.3523,7.4722,36,0.7222,35.8889,False,6,strict
angina,Metoprolol,3,3,20.6347,7.2955,7.75,8,0.75,18.25,True,6,strict
angina,Nitroglycerin,4,1,18.7671,7.6616,9.0,6,1.0,33.1667,True,6,strict
angina,Isosorbide mononitrate,5,5,17.7236,5.3439,3.5455,11,0.2727,3.2727,True,6,strict
angina pectoris prophylaxis,Isosorbide mononitrate,1,1,25.8631,6.2727,5.7647,17,0.5882,35.8235,True,6,loose
angina pectoris prophylaxis,Imdur,2,2,14.8207,6.0505,4.1667,6,0.3333,53.8333,False,6,loose
ankylosing spondylitis,Adalimumab,1,4,49.7065,7.5802,7.7442,43,0.7674,34.1163,False,0,none
ankylosing spondylitis,Humira,2,5,49.7065,7.5802,7.7442,43,0.7674,34.1163,False,0,none
ankylosing spondylitis,Etanercept,3,1,48.0301,7.8961,8.1892,37,0.8108,17.1351,False,0,none
ankylosing spondylitis,Enbrel,4,2,47.1136,7.8523,8.1389,36,0.8056,17.5833,False,0,none
ankylosing spondylitis,Golimumab,5,7,26.5238,7.3564,7.6923,13,0.7692,17.3077,False,0,none
ankylosing spondylitis,Simponi,6,6,25.8233,7.4545,7.9167,12,0.8333,18.6667,False,0,none
ankylosing spondylitis,Diclofenac,7,8,24.9573,7.2045,7.4167,12,0.6667,13.0,False,0,none
ankylosing spondylitis,Indomethacin,8,3,21.4832,7.5955,8.5,8,0.875,7.75,False,0,none
ankylosing spondylitis,Infliximab,9,10,19.7861,6.9955,7.0,8,0.75,20.125,False,0,none
ankylosing spondylitis,Remicade,10,11,18.5076,6.9952,7.0,7,0.7143,22.8571,False,0,none
ankylosing spondylitis,Voltaren,11,9,17.5423,7.1616,7.5,6,0.8333,21.0,False,0,none
ankylosing spondylitis,Naproxen,12,12,14.9829,6.7005,6.0,5,0.6,6.8,False,0,none
ankylosing spondylitis,Cosentyx,13,13,13.5959,5.5505,2.6667,6,0.1667,15.1667,False,0,none
ankylosing spondylitis,Secukinumab,14,14,13.5959,5.5505,2.6667,6,0.1667,15.1667,False,0,none
anorexia,Cyproheptadine,1,1,79.4505,8.6176,8.8471,85,0.8941,53.6,False,2,loose
anorexia,Dronabinol,2,3,23.4165,7.405,7.9,10,0.8,24.9,False,2,loose
anorexia,Marinol,3,2,19.9001,7.5215,8.4286,7,0.8571,30.5714,False,2,loose
anorexia,Megestrol,4,4,19.4824,7.3636,8.0,7,0.7143,17.7143,False,2,loose
anxiety,Alprazolam,1,3,207.9692,8.7883,8.8268,560,0.8982,35.8571,True,26,strict
anxiety,Escitalopram,2,20,202.0173,7.8104,7.8251,669,0.7758,36.6667,True,26,strict
anxiety,Clonazepam,3,8,195.9921,8.5295,8.5644,528,0.8769,40.4205,True,26,strict
anxiety,Lexapro,4,17,173.2833,7.8847,7.9068,483,0.793,46.2609,False,26,strict
anxiety,Lorazepam,5,11,168.3107,8.2422,8.2782,417,0.8273,38.9976,True,26,strict
anxiety,Xanax,6,5,168.225,8.6871,8.7413,375,0.8853,46.7307,False,26,strict
anxiety,Buspirone,7,48,147.0514,6.3398,6.3253,538,0.5892,54.6041,True,26,strict
anxiety,Klonopin,8,7,144.0364,8.547,8.6127,284,0.8944,60.2887,False,26,strict
anxiety,Diazepam,9,4,140.0257,8.7008,8.7799,259,0.8996,62.0888,True,26,strict
anxiety,Gabapentin,10,14,129.6428,8.0401,8.0885,260,0.8231,81.2462,True,26,strict
anxiety,Ativan,11,13,123.1111,8.1712,8.2335,227,0.8238,53.5639,True,26,strict
anxiety,Hydroxyzine,12,51,119.4175,5.8132,5.7796,422,0.5403,38.7299,True,26,strict
anxiety,BuSpar,13,44,112.3385,6.4537,6.4323,303,0.5941,84.0264,False,26,strict
anxiety,Paroxetine,14,26,107.5707,7.388,7.4104,212,0.7311,52.0236,True,26,strict
anxiety,Valium,15,2,99.6363,8.9117,9.096,125,0.928,92.984,False,26,strict
anxiety and stress,Citalopram,1,6,180.085,7.61,7.6232,560,0.7607,57.9357,True,34,loose
anxiety and stress,Celexa,2,7,135.1635,7.5677,7.5893,319,0.7649,83.8276,True,34,loose
anxiety and stress,Fluoxetine,3,8,131.6795,7.5648,7.5875,303,0.7591,74.8086,False,34,loose
anxiety and stress,Sertraline,4,10,127.2982,7.3991,7.4155,296,0.7534,43.4628,True,34,loose
anxiety and stress,Prozac,5,4,108.101,7.6631,7.7035,199,0.7739,102.5528,False,34,loose
anxiety and stress,Amitriptyline,6,5,70.5845,7.6113,7.6977,86,0.7442,73.8953,True,34,loose
anxiety and stress,Venlafaxine,7,12,69.2312,7.1407,7.1596,94,0.6702,27.8511,True,34,loose
anxiety and stress,Paroxetine,8,13,66.0299,6.8105,6.7872,94,0.6277,38.6702,True,34,loose
anxiety and stress,Zoloft,9,9,61.4325,7.5052,7.597,67,0.806,39.7164,False,34,loose
anxiety and stress,Paxil,10,14,56.1803,6.5754,6.5068,73,0.6027,45.6575,False,34,loose
anxiety and stress,Effexor,11,11,45.6055,7.3982,7.5263,38,0.7105,38.1579,False,34,loose
anxiety and stress,Effexor XR,12,3,37.395,7.7974,8.2174,23,0.8261,31.0,False,34,loose
anxiety and stress,Fluvoxamine,13,15,37.3452,6.0582,5.7632,38,0.5263,34.9211,False,34,loose
anxiety and stress,Elavil,14,1,32.6922,8.4411,9.6,15,1.0,150.5333,False,34,loose
anxiety and stress,Luvox,15,16,26.5406,5.9347,5.3,20,0.45,50.8,False,34,loose
arrhythmia,Dofetilide,1,1,49.1259,7.7675,8.0,40,0.8,56.125,False,2,loose
arrhythmia,Tikosyn,2,2,46.9129,7.7124,7.9459,37,0.8108,60.6216,False,2,loose
arrhythmia,Amiodarone,3,6,27.992,5.9679,5.4091,22,0.5,50.1364,False,2,loose
arrhythmia,Verapamil,4,5,19.079,6.7455,6.375,8,0.5,20.25,False,2,loose
arrhythmia,Propranolol,5,4,17.9506,6.7847,6.4286,7,0.5714,12.5714,False,2,loose
arrhythmia,Disopyramide,6,3,16.6928,7.4652,8.6,5,1.0,10.2,False,2,loose
asthma,Montelukast,1,11,53.9864,5.6593,5.4835,91,0.4396,22.8462,True,10,strict
asthma,Prednisone,2,6,44.5041,7.0367,7.05,40,0.7,31.275,False,10,strict
asthma,Singulair,3,9,42.0322,6.5643,6.439,41,0.561,33.2683,False,10,strict
asthma,Breo Ellipta,4,2,38.9808,7.1169,7.1667,30,0.6667,16.1333,False,10,strict
asthma,Fluticasone / vilanterol,5,3,38.9808,7.1169,7.1667,30,0.6667,16.1333,True,10,strict
asthma,Dulera,6,10,27.9685,6.4164,6.0526,19,0.5263,19.1053,False,10,strict
asthma,Ipratropium,7,1,17.2189,7.7005,9.4,5,1.0,19.2,False,10,strict
asthma,Alvesco,8,4,15.9036,7.1123,7.4,5,0.8,11.8,False,10,strict
asthma,Ciclesonide,9,5,15.9036,7.1123,7.4,5,0.8,11.8,False,10,strict
asthma,Mepolizumab,10,7,15.2459,6.8182,6.4,5,0.6,17.6,False,10,strict
asthma,Nucala,11,8,15.2459,6.8182,6.4,5,0.6,17.6,False,10,strict
asthma acute,Albuterol,1,9,33.3075,4.4912,3.9455,55,0.2909,9.3273,True,130,loose
asthma acute,Racepinephrine,2,6,23.2728,7.3595,7.8,10,0.6,4.9,True,130,loose
asthma acute,Epinephrine,3,1,21.0141,7.9426,9.5714,7,1.0,12.7143,True,130,loose
asthma acute,Levalbuterol,4,2,21.0141,7.9426,9.5714,7,1.0,8.5714,True,130,loose
asthma acute,Methylprednisolone,5,4,19.9001,7.5215,8.4286,7,0.8571,21.5714,True,130,loose
asthma acute,Asthmanefrin,6,5,19.6216,7.4163,8.1429,7,0.7143,5.8571,True,130,loose
asthma acute,Ventolin,7,7,19.5033,6.8955,6.75,8,0.5,10.125,False,130,loose
asthma acute,Primatene Mist,8,3,19.1753,7.8283,9.5,6,1.0,14.5,False,130,loose
asthma acute,ProAir RespiClick,9,10,15.5979,2.9477,1.2143,28,0.0,7.75,True,130,loose
asthma acute,ProAir HFA,10,8,13.2729,5.9358,3.4,5,0.2,11.8,True,130,loose
asthma maintenance,Symbicort,1,10,61.7341,7.4864,7.5735,68,0.6912,30.2059,True,10,loose
asthma maintenance,Fluticasone / salmeterol,2,3,61.2799,7.7826,7.9355,62,0.8065,20.3226,True,10,loose
asthma maintenance,Advair Diskus,3,7,57.2154,7.6457,7.7857,56,0.7857,21.875,True,10,loose
asthma maintenance,Montelukast,4,21,52.0943,6.67,6.6066,61,0.5738,30.8852,True,10,loose
asthma maintenance,Omalizumab,5,1,50.8749,7.8502,8.0952,42,0.8095,31.4762,False,10,loose
asthma maintenance,Xolair,6,2,50.0059,7.8096,8.0488,41,0.8049,32.2439,False,10,loose
asthma maintenance,Singulair,7,6,46.1136,7.6856,7.9167,36,0.7222,40.9722,False,10,loose
asthma maintenance,Beclomethasone,8,23,34.3151,6.0661,5.7188,32,0.5312,18.0625,False,10,loose
asthma maintenance,Qvar,9,24,34.3151,6.0661,5.7188,32,0.5312,18.0625,False,10,loose
asthma maintenance,Fluticasone,10,18,28.6957,6.7636,6.6111,18,0.5,14.3333,True,10,loose
asthma maintenance,Dulera,11,17,27.2727,6.8182,6.6875,16,0.625,22.125,False,10,loose
asthma maintenance,Albuterol,12,22,26.1299,6.5325,6.1875,16,0.625,11.4375,True,10,loose
asthma maintenance,Budesonide,13,12,25.37,7.0364,7.0769,13,0.6923,12.6923,True,10,loose
asthma maintenance,Mometasone,14,16,24.7931,6.8764,6.7692,13,0.6154,17.0769,False,10,loose
asthma maintenance,Asmanex Twisthaler,15,11,23.9243,7.2134,7.4545,11,0.7273,19.9091,False,10,loose
atigue,Modafinil,1,1,44.9082,8.3392,8.8966,29,0.8966,22.4138,False,0,none
atigue,Amphetamine / dextroamphetamine,2,2,41.8236,8.049,8.5185,27,0.8519,35.7037,False,0,none
atigue,Methylphenidate,3,3,18.3684,6.9426,6.8571,7,0.7143,13.1429,False,0,none
atigue,Dextroamphetamine,4,4,16.998,6.9394,6.8333,6,0.6667,11.6667,False,0,none
atopic dermatitis,Tacrolimus,1,11,40.3941,6.8279,6.7714,35,0.6286,22.3143,False,2,loose
atopic dermatitis,Crisaborole,2,8,37.4254,7.0727,7.1071,28,0.6429,15.9286,False,2,loose
atopic dermatitis,Eucrisa,3,9,37.4254,7.0727,7.1071,28,0.6429,15.9286,False,2,loose
atopic dermatitis,Protopic,4,6,34.6546,7.226,7.3478,23,0.6957,29.6087,False,2,loose
atopic dermatitis,Clobetasol,5,1,28.9987,8.3712,9.75,12,1.0,17.5,True,2,loose
atopic dermatitis,Pimecrolimus,6,7,22.8416,7.2231,7.5,10,0.8,8.7,False,2,loose
atopic dermatitis,Triamcinolone,7,2,22.3317,7.8955,9.25,8,1.0,19.0,True,2,loose
atopic dermatitis,Elidel,8,5,21.7013,7.2338,7.5556,9,0.7778,9.5556,False,2,loose
atopic dermatitis,Dupilumab,9,3,18.4949,7.5505,8.6667,6,0.8333,13.5,False,2,loose
atopic dermatitis,Dupixent,10,4,18.4949,7.5505,8.6667,6,0.8333,13.5,False,2,loose
atopic dermatitis,Betamethasone,11,10,15.6405,6.9947,7.0,5,0.8,7.2,False,2,loose
atrial fibrillation,Flecainide,1,3,63.1081,7.7681,7.9091,66,0.7727,58.6212,False,58,strict
atrial fibrillation,Propafenone,2,2,46.562,7.8704,8.1714,35,0.8286,28.7429,False,58,strict
atrial fibrillation,Metoprolol,3,12,41.8206,6.1002,5.8723,47,0.5532,35.9574,True,58,strict
atrial fibrillation,Diltiazem,4,4,39.2774,7.4227,7.6071,28,0.6786,48.7857,True,58,strict
atrial fibrillation,Sotalol,5,5,38.7482,7.3227,7.4643,28,0.7143,51.3929,True,58,strict
atrial fibrillation,Rythmol SR,6,1,30.6397,8.1888,9.2143,14,1.0,41.2143,False,58,strict
atrial fibrillation,Dronedarone,7,11,29.9234,6.3797,6.0455,22,0.5455,28.9545,False,58,strict
atrial fibrillation,Rivaroxaban,8,9,28.9164,6.4659,6.15,20,0.6,43.7,True,58,strict
atrial fibrillation,Xarelto,9,10,28.9164,6.4659,6.15,20,0.6,43.7,False,58,strict
atrial fibrillation,Multaq,10,8,27.2727,6.8182,6.6875,16,0.625,39.25,False,58,strict
atrial fibrillation,Carvedilol,11,13,19.3098,5.8221,4.5455,11,0.1818,19.7273,True,58,strict
atrial fibrillation,Tambocor,12,6,17.6784,7.2172,7.6667,6,0.8333,94.3333,False,58,strict
atrial fibrillation,Digoxin,13,7,16.7258,6.8283,6.5,6,0.5,52.0,True,58,strict
atrial flutte,Flecainide,1,1,19.3431,7.311,7.8571,7,0.7143,18.4286,False,4,strict
atrial flutte,Diltiazem,2,2,17.2406,6.0955,4.75,8,0.25,15.0,True,4,strict
atrophic urethritis,Estradiol,1,2,21.1875,5.8764,4.8462,13,0.3077,25.3077,False,0,none
atrophic urethritis,Estrace Vaginal Cream,2,1,14.6846,5.995,4.0,6,0.1667,28.1667,False,0,none
atrophic vaginitis,Estradiol,1,5,61.2109,5.7079,5.5739,115,0.487,40.9826,False,0,none
atrophic vaginitis,Estrace Vaginal Cream,2,3,41.0784,6.7532,6.6757,37,0.6216,82.7568,False,0,none
atrophic vaginitis,Estring,3,4,31.1506,6.3586,6.0417,24,0.5833,12.4167,False,0,none
atrophic vaginitis,Vagifem,4,1,30.5342,7.197,7.3333,18,0.6111,47.0,False,0,none
atrophic vaginitis,Yuvafem,5,6,22.7108,4.2173,3.069,29,0.2069,13.6897,False,0,none
atrophic vaginitis,Conjugated estrogens,6,2,15.9036,7.1123,7.4,5,0.6,30.8,False,0,none
autism,Risperidone,1,3,39.4411,6.3982,6.2105,38,0.5526,54.0263,False,0,none
autism,Aripiprazole,2,1,31.8513,7.1222,7.2,20,0.7,57.35,False,0,none
autism,Abilify,3,2,29.6856,6.997,7.0,18,0.6667,63.4444,False,0,none
autism,Risperdal,4,6,26.8201,5.9972,5.4,20,0.4,75.6,False,0,none
autism,Geodon,5,4,17.382,6.1455,4.875,8,0.5,11.5,False,0,none
autism,Ziprasidone,6,5,17.382,6.1455,4.875,8,0.5,11.5,False,0,none
back pain,Acetaminophen / hydrocodone,1,3,109.9362,8.149,8.2253,182,0.8626,30.9725,True,13,strict
back pain,Tramadol,2,17,82.8155,6.8539,6.8425,146,0.6781,39.1712,True,13,strict
back pain,Norco,3,1,67.442,8.2394,8.4627,67,0.8955,46.9701,False,13,strict
back pain,Diclofenac,4,10,56.7752,7.5869,7.7143,56,0.7321,28.375,True,13,strict
back pain,Naproxen,5,21,52.0269,6.2184,6.0857,70,0.5857,25.2571,True,13,strict
back pain,Lortab,6,2,49.8922,8.2022,8.5946,37,0.8649,20.9189,False,13,strict
back pain,Duloxetine,7,15,34.9877,6.9975,7.0,25,0.72,36.12,False,13,strict
back pain,Aleve,8,19,33.3998,6.5502,6.3462,26,0.5769,32.5385,False,13,strict
