condition_key,drug,rank,rank_by_rating,score,shrunk_rating,mean_rating,n_reviews,positive_rate,mean_useful
anxiety,Gabapentin,11,14,520.5852,8.0401,8.0885,260,0.8231,81.2462
anxiety,Ativan,12,13,477.8631,8.1712,8.2335,227,0.8238,53.5639
anxiety,BuSpar,13,44,468.694,6.4537,6.4323,303,0.5941,84.0264
anxiety,Paroxetine,14,26,410.4668,7.388,7.4104,212,0.7311,52.0236
anxiety,Venlafaxine,15,37,362.4052,7.0537,7.0576,191,0.6859,49.4346
anxiety and stress,Citalopram,1,6,876.0413,7.61,7.6232,560,0.7607,57.9357
anxiety and stress,Celexa,2,7,571.2247,7.5677,7.5893,319,0.7649,83.8276
anxiety and stress,Fluoxetine,3,8,549.3877,7.5648,7.5875,303,0.7591,74.8086
anxiety and stress,Sertraline,4,10,528.0136,7.3991,7.4155,296,0.7534,43.4628
anxiety and stress,Prozac,5,4,406.0158,7.6631,7.7035,199,0.7739,102.5528
anxiety and stress,Venlafaxine,6,12,215.5678,7.1407,7.1596,94,0.6702,27.8511
anxiety and stress,Amitriptyline,7,5,214.9481,7.6113,7.6977,86,0.7442,73.8953
anxiety and stress,Paroxetine,8,13,205.5997,6.8105,6.7872,94,0.6277,38.6702
anxiety and stress,Zoloft,9,9,175.7588,7.5052,7.597,67,0.806,39.7164
anxiety and stress,Paxil,10,14,164.2156,6.5754,6.5068,73,0.6027,45.6575
anxiety and stress,Effexor,11,11,113.2303,7.3982,7.5263,38,0.7105,38.1579
anxiety and stress,Fluvoxamine,12,15,92.7214,6.0582,5.7632,38,0.5263,34.9211
anxiety and stress,Effexor XR,13,3,81.8928,7.7974,8.2174,23,0.8261,31.0
anxiety and stress,Elavil,14,1,64.3378,8.4411,9.6,15,1.0,150.5333
anxiety and stress,Luvox,15,16,56.1266,5.9347,5.3,20,0.45,50.8
arrhythmia,Dofetilide,1,1,123.5451,7.7675,8.0,40,0.8,56.125
arrhythmia,Tikosyn,2,2,115.7025,7.7124,7.9459,37,0.8108,60.6216
arrhythmia,Amiodarone,3,6,60.6233,5.9679,5.4091,22,0.5,50.1364
arrhythmia,Verapamil,4,5,32.087,6.7455,6.375,8,0.5,20.25
arrhythmia,Propranolol,5,4,29.198,6.7847,6.4286,7,0.5714,12.5714
arrhythmia,Disopyramide,6,3,24.9616,7.4652,8.6,5,1.0,10.2
asthma,Montelukast,1,11,166.7419,5.6593,5.4835,91,0.4396,22.8462
asthma,Prednisone,2,6,111.9219,7.0367,7.05,40,0.7,31.275
asthma,Singulair,3,9,106.3599,6.5643,6.439,41,0.561,33.2683
asthma,Breo Ellipta,4,2,91.2286,7.1169,7.1667,30,0.6667,16.1333
asthma,Fluticasone / vilanterol,5,3,91.2286,7.1169,7.1667,30,0.6667,16.1333
asthma,Dulera,6,10,58.3927,6.4164,6.0526,19,0.5263,19.1053
asthma,Ipratropium,7,1,25.7483,7.7005,9.4,5,1.0,19.2
asthma,Alvesco,8,4,23.7814,7.1123,7.4,5,0.8,11.8
asthma,Ciclesonide,9,5,23.7814,7.1123,7.4,5,0.8,11.8
asthma,Mepolizumab,10,7,22.798,6.8182,6.4,5,0.6,17.6
asthma,Nucala,11,8,22.798,6.8182,6.4,5,0.6,17.6
asthma acute,Albuterol,1,9,90.7053,4.4912,3.9455,55,0.2909,9.3273
asthma acute,Racepinephrine,2,6,41.3856,7.3595,7.8,10,0.6,4.9
asthma acute,ProAir RespiClick,3,10,35.8803,2.9477,1.2143,28,0.0,7.75
asthma acute,Epinephrine,4,1,34.1811,7.9426,9.5714,7,1.0,12.7143
asthma acute,Levalbuterol,5,2,34.1811,7.9426,9.5714,7,1.0,8.5714
asthma acute,Ventolin,6,7,32.8005,6.8955,6.75,8,0.5,10.125
asthma acute,Methylprednisolone,7,4,32.3691,7.5215,8.4286,7,0.8571,21.5714
asthma acute,Asthmanefrin,8,5,31.9161,7.4163,8.1429,7,0.7143,5.8571
asthma acute,Primatene Mist,9,3,30.011,7.8283,9.5,6,1.0,14.5
asthma acute,ProAir HFA,10,8,19.8477,5.9358,3.4,5,0.2,11.8
asthma maintenance,Symbicort,1,10,177.2771,7.4864,7.5735,68,0.6912,30.2059
asthma maintenance,Fluticasone / salmeterol,2,3,171.9555,7.7826,7.9355,62,0.8065,20.3226
asthma maintenance,Advair Diskus,3,7,156.5163,7.6457,7.7857,56,0.7857,21.875
asthma maintenance,Montelukast,4,21,145.587,6.67,6.6066,61,0.5738,30.8852
asthma maintenance,Omalizumab,5,1,129.5138,7.8502,8.0952,42,0.8095,31.4762
asthma maintenance,Xolair,6,2,126.5369,7.8096,8.0488,41,0.8049,32.2439
asthma maintenance,Singulair,7,6,112.9549,7.6856,7.9167,36,0.7222,40.9722
asthma maintenance,Beclomethasone,8,23,81.6156,6.0661,5.7188,32,0.5312,18.0625
asthma maintenance,Qvar,9,24,81.6156,6.0661,5.7188,32,0.5312,18.0625
asthma maintenance,Fluticasone,10,18,59.1064,6.7636,6.6111,18,0.5,14.3333
asthma maintenance,Dulera,11,17,54.5455,6.8182,6.6875,16,0.625,22.125
asthma maintenance,Albuterol,12,22,52.2598,6.5325,6.1875,16,0.625,11.4375
asthma maintenance,Budesonide,13,12,48.1733,7.0364,7.0769,13,0.6923,12.6923
asthma maintenance,Mometasone,14,16,47.0778,6.8764,6.7692,13,0.6154,17.0769
asthma maintenance,Asmanex Twisthaler,15,11,43.5699,7.2134,7.4545,11,0.7273,19.9091
atigue,Modafinil,1,1,104.2138,8.3392,8.8966,29,0.8966,22.4138
atigue,Amphetamine / dextroamphetamine,2,2,95.3372,8.049,8.5185,27,0.8519,35.7037
atigue,Methylphenidate,3,3,29.8775,6.9426,6.8571,7,0.7143,13.1429
atigue,Dextroamphetamine,4,4,26.6033,6.9394,6.8333,6,0.6667,11.6667
atopic dermatitis,Tacrolimus,1,11,98.2506,6.8279,6.7714,35,0.6286,22.3143
atopic dermatitis,Crisaborole,2,8,86.0906,7.0727,7.1071,28,0.6429,15.9286
atopic dermatitis,Eucrisa,3,9,86.0906,7.0727,7.1071,28,0.6429,15.9286
atopic dermatitis,Protopic,4,6,75.8914,7.226,7.3478,23,0.6957,29.6087
atopic dermatitis,Clobetasol,5,1,53.9727,8.3712,9.75,12,1.0,17.5
atopic dermatitis,Pimecrolimus,6,7,40.6187,7.2231,7.5,10,0.8,8.7
atopic dermatitis,Elidel,7,5,37.5878,7.2338,7.5556,9,0.7778,9.5556
atopic dermatitis,Triamcinolone,8,2,37.5573,7.8955,9.25,8,1.0,19.0
atopic dermatitis,Dupilumab,9,3,28.9461,7.5505,8.6667,6,0.8333,13.5
atopic dermatitis,Dupixent,10,4,28.9461,7.5505,8.6667,6,0.8333,13.5
atopic dermatitis,Betamethasone,11,10,23.388,6.9947,7.0,5,0.8,7.2
atrial fibrillation,Flecainide,1,3,179.875,7.7681,7.9091,66,0.7727,58.6212
atrial fibrillation,Propafenone,2,2,113.2526,7.8704,8.1714,35,0.8286,28.7429
atrial fibrillation,Metoprolol,3,12,109.5,6.1002,5.8723,47,0.5532,35.9574
atrial fibrillation,Diltiazem,4,4,90.3508,7.4227,7.6071,28,0.6786,48.7857
atrial fibrillation,Sotalol,5,5,89.1336,7.3227,7.4643,28,0.7143,51.3929
atrial fibrillation,Dronedarone,6,11,64.8061,6.3797,6.0455,22,0.5455,28.9545
atrial fibrillation,Rivaroxaban,7,9,61.1508,6.4659,6.15,20,0.6,43.7
atrial fibrillation,Xarelto,8,10,61.1508,6.4659,6.15,20,0.6,43.7
atrial fibrillation,Rythmol SR,9,1,59.2676,8.1888,9.2143,14,1.0,41.2143
atrial fibrillation,Multaq,10,8,54.5455,6.8182,6.6875,16,0.625,39.25
atrial fibrillation,Carvedilol,11,13,35.1663,5.8221,4.5455,11,0.1818,19.7273
atrial fibrillation,Tambocor,12,6,27.6682,7.2172,7.6667,6,0.8333,94.3333
atrial fibrillation,Digoxin,13,7,26.1773,6.8283,6.5,6,0.5,52.0
atrial flutte,Flecainide,1,1,31.4631,7.311,7.8571,7,0.7143,18.4286
atrial flutte,Diltiazem,2,2,28.995,6.0955,4.75,8,0.25,15.0
atrophic urethritis,Estradiol,1,2,40.2315,5.8764,4.8462,13,0.3077,25.3077
atrophic urethritis,Estrace Vaginal Cream,2,1,22.9826,5.995,4.0,6,0.1667,28.1667
atrophic vaginitis,Estradiol,1,5,200.4487,5.7079,5.5739,115,0.487,40.9826
atrophic vaginitis,Estrace Vaginal Cream,2,3,101.3127,6.7532,6.6757,37,0.6216,82.7568
atrophic vaginitis,Estring,3,4,68.9476,6.3586,6.0417,24,0.5833,12.4167
atrophic vaginitis,Vagifem,4,1,62.8933,7.197,7.3333,18,0.6111,47.0
atrophic vaginitis,Yuvafem,5,6,52.7027,4.2173,3.069,29,0.2069,13.6897
atrophic vaginitis,Conjugated estrogens,6,2,23.7814,7.1123,7.4,5,0.6,30.8
autism,Risperidone,1,3,97.9252,6.3982,6.2105,38,0.5526,54.0263
autism,Aripiprazole,2,1,67.3572,7.1222,7.2,20,0.7,57.35
autism,Abilify,3,2,61.1455,6.997,7.0,18,0.6667,63.4444
autism,Risperdal,4,6,56.7177,5.9972,5.4,20,0.4,75.6
autism,Geodon,5,4,29.2329,6.1455,4.875,8,0.5,11.5
autism,Ziprasidone,6,5,29.2329,6.1455,4.875,8,0.5,11.5
back pain,Acetaminophen / hydrocodone,1,3,403.7929,8.149,8.2253,182,0.8626,30.9725
back pain,Tramadol,2,17,287.8721,6.8539,6.8425,146,0.6781,39.1712
back pain,Norco,3,1,192.9521,8.2394,8.4627,67,0.8955,46.9701
back pain,Diclofenac,4,10,155.3121,7.5869,7.7143,56,0.7321,28.375
back pain,Naproxen,5,21,150.4882,6.2184,6.0857,70,0.5857,25.2571
back pain,Lortab,6,2,123.0504,8.2022,8.5946,37,0.8649,20.9189
back pain,Duloxetine,7,15,78.2349,6.9975,7.0,25,0.72,36.12
back pain,Aleve,8,19,75.4201,6.5502,6.3462,26,0.5769,32.5385
back pain,Ultram,9,7,69.5481,7.6422,8.0526,19,0.7895,94.4211
back pain,Cymbalta,10,18,69.2877,6.8209,6.7273,22,0.6818,40.0
back pain,Voltaren,11,5,63.4026,7.9253,8.625,16,0.8125,33.4375
back pain,Nabumetone,12,20,54.5371,6.5141,6.1765,17,0.6471,43.7647
back pain,Acetaminophen / pamabrom,13,4,51.555,7.9962,9.0,12,0.9167,10.6667
back pain,Vicodin,14,16,44.3016,6.8712,6.75,12,0.5833,40.0
back pain,Lorcet 10 / 650,15,6,43.4304,7.7231,8.6,10,0.9,23.7
bacterial infection,Metronidazole,1,14,417.8104,6.2727,6.2407,270,0.5519,12.6519
bacterial infection,Clindamycin,2,18,389.3963,5.7662,5.7127,275,0.4764,25.5091
bacterial infection,Flagyl,3,7,210.6834,6.8695,6.8542,96,0.6562,19.6771
bacterial infection,Doxycycline,4,17,143.0262,5.9742,5.7971,69,0.5507,38.058
bacterial infection,Cephalexin,5,10,139.0957,6.5339,6.4407,59,0.5424,27.8136
bacterial infection,Amoxicillin / clavulanate,6,24,118.4387,4.8423,4.4789,71,0.338,15.8873
bacterial infection,Amoxicillin,7,6,107.3799,6.8806,6.8462,39,0.6154,26.0
bacterial infection,Sulfamethoxazole / trimethoprim,8,23,83.0161,4.9438,4.3721,43,0.3256,12.2791
bacterial infection,Levofloxacin,9,20,80.4743,5.7154,5.2647,34,0.4412,16.5588
bacterial infection,Ciprofloxacin,10,12,79.8299,6.388,6.1379,29,0.5517,19.5517
bacterial infection,Azithromycin,11,13,76.9614,6.3227,6.0357,28,0.5,4.8214
bacterial infection,Augmentin,12,21,73.9711,5.4979,4.9375,32,0.4062,23.0625
bacterial infection,Ceftriaxone,13,2,71.3095,7.8358,8.3684,19,0.8421,13.2105
bacterial infection,Rocephin,14,1,66.9509,7.9969,8.7059,17,0.8824,14.7059
bacterial infection,Moxifloxacin,15,15,64.4886,6.1403,5.6957,23,0.5217,10.3043
bacterial skin infection,Sulfamethoxazole / trimethoprim,1,2,196.7871,5.9569,5.8396,106,0.4811,29.3302
bacterial skin infection,Bactrim,2,1,120.9834,6.9633,6.9556,45,0.6222,50.1111
bacterial skin infection,Bactrim DS,3,3,59.9116,5.5253,4.7917,24,0.375,22.3333
bacterial vaginitis,Metronidazole,1,2,783.1128,7.1606,7.1644,523,0.6635,11.8757
bacterial vaginitis,Clindamycin,2,5,129.322,6.7763,6.7255,51,0.6078,16.1961
bacterial vaginitis,Tinidazole,3,1,123.0978,7.4613,7.5952,42,0.7619,14.1429
bacterial vaginitis,MetroGel-Vaginal,4,7,71.3572,6.5808,6.375,24,0.5417,33.8333
bacterial vaginitis,Tindamax,5,6,45.4347,6.6364,6.3077,13,0.5385,18.9231
bacterial vaginitis,Clindesse,6,3,29.651,6.89,6.7143,7,0.5714,12.8571
bacterial vaginitis,Flagyl ER,7,4,26.3903,6.8838,6.6667,6,0.6667,21.1667
barrett s esophagus,Dexlansoprazole,1,2,66.6622,7.9624,8.6471,17,0.8824,26.1765
barrett s esophagus,Esomeprazole,2,3,60.668,7.9596,8.7333,15,0.8,33.1333
barrett s esophagus,Nexium,3,5,57.0406,7.8811,8.6429,14,0.7857,34.9286
barrett s esophagus,Dexilant,4,4,51.2863,7.9545,8.9167,12,0.9167,31.75
barrett s esophagus,Omeprazole,5,1,38.5087,8.0955,9.75,8,1.0,17.875
barrett s esophagus,Pantoprazole,6,6,32.5956,7.5742,8.5714,7,0.7143,44.2857
barrett s esophagus,Kapidex,7,7,24.3715,7.2888,8.0,5,0.8,12.8
basal cell carcinoma,Imiquimod,1,2,115.5923,7.2675,7.35,40,0.725,27.55
basal cell carcinoma,Fluorouracil,2,1,52.865,7.3042,7.5714,14,0.7143,41.5714
